ID,tbv
3,15.56251
31,15.349
53,10.20744
60,12.59505
66,26.06857
87,23.69796
93,19.42753
105,16.34488
119,20.24209
122,20.23675
184,11.7267
200,15.29752
210,21.71179
267,18.73385
303,11.5673
313,24.45554
329,11.90482
332,25.12031
337,17.43697
348,23.23536
373,15.24002
381,20.66483
392,24.5777
429,16.96924
469,12.08747
522,19.66711
524,14.85496
543,19.08024
555,15.06772
571,26.86623
574,20.39091
578,24.13077
606,18.58759
644,11.50839
669,21.13621
704,13.87205
766,24.25735
800,13.62119
827,19.46581
833,11.26501
834,16.26835
848,19.3443
856,17.65562
923,19.63025
955,12.3932
976,14.05631
983,34.00225
1013,21.92483
1022,18.46063
1044,22.41389
1047,17.98822
1069,14.27682
1091,20.34514
1092,24.82389
1099,19.37255
1101,8.737158
1158,8.700019
1188,4.871064
1192,4.240666
1210,9.375938
1218,11.34036
1220,8.830417
1245,5.794223
1250,8.240539
1340,3.721042
1384,5.655011
1390,6.990932
1400,11.67384
1449,13.98218
1473,5.220766
1488,11.32217
1504,13.08631
1510,5.150652
1533,6.944586
1564,9.058775
1593,6.238198
1596,14.32457
1614,-0.6256296
1616,7.972469
1619,4.14502
1621,8.05106
1650,5.513744
1664,-1.138604
1683,12.96513
1702,7.972068
1762,2.738962
1763,16.13894
1773,3.501859
1829,7.898238
1832,-1.46287
1873,4.512105
1884,13.70372
1896,9.28819
1913,6.949877
1955,2.166545
1975,3.468348
1996,4.46716
2001,15.33253
2029,8.896913
2032,6.768947
2048,2.737918
2052,10.08205
2065,9.328317
2078,13.2517
2080,1.774098
2095,17.89038
2104,16.92635
2120,-2.701093
2128,2.646784
2175,4.56432
2177,6.583768
2180,14.4001
2190,13.23311
2203,2.103578
2220,-2.489464
2237,11.15841
2253,1.544693
2259,3.366268
2261,12.9082
2262,8.201718
2269,1.050795
2278,10.45708
2340,-3.398408
2346,9.241503
2368,12.68444
2374,12.5204
2392,4.283283
2396,7.390284
2415,1.502449
2436,1.969204
2460,8.040394
2499,13.24553
2520,7.56468
2593,5.971022
2600,-2.625732
2670,8.176197
2696,6.92442
2738,-0.4359666
2739,1.118941
2744,6.319541
2771,14.17469
2799,2.75383
2815,1.594823
2896,8.288341
2910,7.684801
2917,12.56861
2920,10.33521
2965,-3.946281
2978,5.805465
2979,3.84589
2989,11.32029
3019,8.745171
3042,3.714587
3056,-0.6323091
3058,3.873492
3103,13.86572
3116,13.28749
3125,17.80331
3170,13.1524
3179,8.047171
3187,6.821569
3189,8.068843
3216,8.982152
3220,20.50114
3226,7.556977
3305,14.37781
3334,9.085085
3339,12.13863
3351,1.337838
3366,7.162031
3393,2.972336
3399,4.876433
3479,7.551701
3508,20.91713
3515,6.158786
3528,5.161323
3529,7.814402
3536,5.728804
3566,9.84578
3579,13.94166
3615,12.68595
3672,8.01448
3735,12.73674
3749,9.85514
3750,8.127842
3772,6.731458
3782,8.079469
3800,-0.69448
3811,11.59176
3846,11.9143
3876,3.859939
3880,4.854343
3897,13.08828
3904,8.949866
3934,2.357797
3959,6.440735
3973,7.95262
3979,4.453043
3981,1.13203
4020,7.496872
4116,16.20799
4117,14.89166
4152,11.80453
4157,12.52494
4163,11.69023
4237,12.81587
4241,4.445454
4250,11.13725
4265,13.22453
4283,9.362949
4297,11.58862
4310,9.217612
4324,11.75179
4345,9.912771
4347,11.17102
4348,10.24367
4350,4.976519
4364,10.47086
4400,11.9052
4416,11.26716
4446,13.91046
4458,16.50858
4487,12.06996
4529,14.82061
4577,4.902964
4589,6.047533
4593,15.21632
4604,4.036909
4714,16.40857
4721,15.06588
4744,13.01893
4754,8.746135
4762,7.704575
4765,20.43838
4788,12.68914
4808,11.0413
4812,7.207394
4824,8.25893
4854,14.07951
4858,9.490576
4894,3.254085
4895,6.882256
4926,8.697269
4932,-2.824037
4942,19.05549
4979,11.65076
4987,7.236411
4988,7.933063
4991,9.029791
5000,3.205935
5029,8.496827
5041,16.6954
5055,8.780416
5062,11.89006
5064,10.15011
5108,11.43867
5126,8.801233
5174,12.22908
5179,15.00412
5193,3.159849
5216,8.482006
5237,23.43913
5245,17.35685
5249,13.15565
5256,10.68724
5270,10.12905
5284,13.5245
5305,15.72888
5318,10.05577
5322,9.226231
5393,16.97935
5398,5.368131
5408,5.334019
5417,12.28155
5431,10.28006
5456,20.02659
5490,22.83509
5548,18.62214
5555,6.303356
5569,11.16282
5586,8.029702
5596,12.72915
5600,16.98438
5694,11.34281
5696,15.50329
5707,9.353253
5712,15.80359
5772,23.42235
5777,13.26569
5785,14.05706
5795,20.12293
5807,8.504564
5820,13.01105
5826,15.18198
5861,17.07956
5891,19.53255
5895,5.874464
5901,12.58531
5928,8.222261
5949,17.9879
5951,11.3942
5955,12.54926
5976,9.594242
5985,6.420225
6009,11.10989
6029,7.617744
6064,12.94545
6079,7.913077
6116,14.83597
6143,11.61529
6174,20.38395
6203,7.411563
6205,13.17011
6277,19.05406
6279,18.78381
6293,11.3498
6305,20.09159
6311,7.157557
6322,12.77688
6339,13.05129
6364,12.70847
6389,16.23036
6393,12.94899
6406,7.257208
6472,9.205028
6480,16.28211
6500,17.20937
6527,20.29389
6531,8.712215
6572,13.44393
6586,12.23892
6587,25.34687
6595,5.056177
6598,21.50713
6616,14.03336
6625,3.116271
6628,13.86114
6638,11.33476
6661,11.01425
6734,14.00687
6763,12.76336
6766,18.90982
6784,14.58749
6792,14.89698
6832,7.898512
6839,12.94862
6872,15.74196
6874,7.280446
6901,9.047998
6950,18.70249
6979,17.60715
6999,10.4217
7012,18.56988
7028,13.64603
7051,14.6459
7129,10.35194
7137,15.17546
7167,21.46151
7168,22.84005
7176,21.14382
7180,13.39458
7212,14.71141
7239,20.16964
7261,15.26491
7266,15.54251
7276,20.19479
7284,14.88119
7291,3.672995
7308,11.10593
7312,16.32018
7347,10.40005
7377,22.65267
7406,19.39994
7464,-1.204874
7473,13.06232
7475,10.74452
7498,21.27537
7547,14.60959
7549,21.4168
7561,23.24481
7636,16.22536
7653,20.52466
7656,19.16616
7663,19.54255
7667,18.8547
7685,13.03023
7708,17.33103
7719,12.21527
7759,15.75653
7761,14.31136
7780,16.21899
7783,13.53207
7812,24.25573
7822,17.2085
7879,18.46041
7885,14.70111
7886,10.62068
7891,14.23697
7913,19.11438
7943,8.910009
7972,17.47611
8007,13.69832
8010,13.37109
8014,14.85739
8036,13.56106
8044,11.99725
8051,11.11802
8067,12.45879
8088,22.8332
8137,7.400547
8230,15.65177
8251,12.54755
8254,13.02455
8280,9.907526
8284,20.09002
8321,11.25614
8325,11.71395
8328,16.61625
8344,11.34218
8374,15.32157
8390,22.97791
8398,20.15779
8435,19.88812
8446,9.936822
8572,14.63754
8578,17.4537
8596,12.72336
8607,15.24485
8619,13.01503
8626,9.779681
8647,18.5536
8653,17.05169
8659,15.25355
8691,14.47124
8710,20.16211
8721,15.25874
8734,11.99165
8739,8.59139
8782,19.80833
8805,12.45039
8812,15.14958
8816,19.42431
8835,19.9187
8836,18.65686
8849,6.604074
8860,19.12046
8878,21.42095
8888,16.11263
8951,26.4262
8975,12.4964
9019,18.84346
9030,14.82766
9059,19.9209
9063,16.24844
9069,11.71255
9101,22.02273
9109,14.67465
9171,16.78587
9175,17.23778
9186,29.08001
9208,16.9642
9216,15.337
9228,7.993009
9257,17.81502
9264,18.47769
9284,21.29267
9287,10.39948
9294,24.13558
9302,14.38672
9320,13.99102
9338,17.01659
9363,23.33355
9378,18.35279
9395,13.64397
9421,16.09291
9485,15.06638
9493,14.73605
9497,20.00723
9533,18.08522
9548,15.53892
9565,10.57859
9575,14.58292
9599,12.10472
9602,23.04987
9603,24.30169
9650,12.68689
9654,19.43168
9659,16.70608
9680,21.60938
9737,16.94562
9768,21.34264
9772,19.88007
9780,26.46341
9786,10.18668
9793,20.59763
9794,16.25684
9834,11.04807
9848,15.19115
9923,12.90697
9928,22.8938
9939,19.73892
9970,14.95634
9981,15.35639
9986,20.96207
10045,16.10709
10089,17.80841
10111,16.25908
10188,14.78697
10202,17.62462
10204,16.38122
10224,18.13302
10242,10.90189
10245,17.53447
10260,18.04246
10331,12.79403
10345,30.67237
10360,23.41333
10399,16.48112
10423,20.00723
10459,16.55667
10491,19.64266
10495,22.04457
10532,18.6941
10539,9.293613
10545,19.7574
10562,18.11018
10598,16.67305
10609,9.620906
10640,14.38216
10652,14.44266
10663,23.9468
10668,19.93396
10683,21.25787
10685,15.14038
10724,24.05917
10755,14.87074
10777,13.92026
10783,15.45165
10804,16.06273
10812,16.15938
10834,19.87299
10857,19.49843
10883,16.08985
10900,20.8807
10901,18.33845
10910,12.08909
10911,14.24989
10917,22.69537
10928,12.92371
10939,19.93866
10951,16.12737
10972,15.93188
11002,13.84491
11039,15.14109
11046,22.66565
11101,22.78672
11137,15.88764
11166,15.03028
11171,26.45244
11173,20.04011
11192,16.72963
11230,25.05811
11239,10.82798
11240,17.25248
11263,16.21875
11279,23.37692
11301,19.59918
11313,21.25181
11343,23.68381
11363,18.92983
11377,20.5169
11425,23.05572
11493,17.13569
11524,12.55345
11534,19.29949
11564,23.65727
11582,19.58851
11605,23.66051
11625,25.84336
11659,17.59089
11664,23.68679
11677,19.06551
11705,19.22902
11749,11.24164
11765,17.82977
11767,21.60041
11782,11.90424
11784,16.89071
11823,15.78434
11824,15.98631
11876,31.8193
11893,21.28771
11896,23.85053
11935,24.10846
11947,16.12645
11957,16.36544
11959,30.18906
11961,22.80827
11965,17.16976
11972,23.70325
11979,21.19052
12007,23.68749
12016,19.73073
12018,9.563502
12044,27.20129
12046,24.80243
12074,16.19623
12114,26.95013
12128,18.47613
12136,28.51676
12165,23.92182
12168,29.33768
12226,25.44434
12234,17.81826
12262,16.6559
12269,23.82306
12280,18.11605
12281,24.96643
12285,19.16667
12287,15.69015
12313,20.48034
12322,24.26993
12325,20.03654
12330,19.56021
12376,21.3083
12487,12.29717
12497,24.20748
12512,23.60853
12572,16.9631
12576,23.62345
12578,14.71479
12581,17.75544
12616,18.75261
12639,31.97519
12659,16.38812
12712,16.86149
12732,17.05318
12749,16.13244
12771,14.69641
12772,15.58013
12822,10.97066
12835,28.10947
12842,24.51307
12847,12.02918
12872,15.8373
12877,23.91224
12883,18.7974
12903,26.56445
12904,19.37773
12929,18.21583
12974,22.80223
12994,18.7799
13048,24.6708
13078,17.64663
13096,30.34474
13114,20.87183
13123,18.61147
13161,16.42057
13162,23.36666
13196,17.31251
13210,32.94723
13218,27.26425
13230,19.43347
13232,31.5426
13240,21.72356
13278,35.26861
13306,20.21344
13333,31.68078
13336,21.0023
13343,11.19179
13401,23.80164
13404,27.05032
13437,30.18891
13474,17.99276
13510,25.24216
13529,16.35518
13530,22.46572
13541,34.13344
13546,25.41057
13580,25.84571
13584,26.01545
13588,24.70835
13608,23.42334
13622,29.74931
13625,19.61908
13638,28.9272
13643,22.8526
13648,21.45431
13676,25.9883
13698,29.87908
13703,19.33623
13775,20.16289
13797,28.11221
13821,34.85456
13831,16.48233
13859,19.18644
13873,29.64312
13884,28.44634
13927,25.48644
