ID,tbv_m
21,-0.08317684
92,1.258264
93,0.5391365
116,6.296674
128,2.790839
169,8.118286
200,1.271755
206,-1.926496
226,5.968508
285,0.8101425
288,-2.75374
298,2.906283
363,9.008047
376,-0.6804583
394,3.464007
407,10.89503
429,1.56681
443,6.568963
455,6.899664
466,1.411083
505,1.636322
524,1.557932
587,-3.754592
590,2.818932
632,5.301487
641,3.019128
655,6.49304
663,-0.3006756
708,7.269589
723,3.131693
725,0.4947896
750,0.3559345
764,-0.4528061
777,2.653836
825,1.546861
845,8.376989
866,-2.032624
900,-2.787477
930,8.149889
972,0.7120445
997,-2.790356
1000,3.558302
1002,0.189311
1018,4.199588
1022,2.041405
1034,4.536269
1036,2.697895
1041,2.241819
1044,4.597983
1061,-0.2519838
1079,-1.846149
1089,0.6471321
1096,5.757585
1098,8.948732
1100,2.852865
1107,-9.954001
1115,-5.865603
1177,-0.5729393
1209,-3.534605
1230,0.09900015
1231,-7.29221
1242,-4.344824
1262,-11.843
1294,-3.12078
1360,-10.21614
1364,-11.98791
1370,-11.42347
1388,-10.04058
1418,-4.070226
1489,-4.024362
1506,-3.539873
1508,-6.653616
1509,-10.76352
1517,-8.259024
1541,-1.212135
1552,-1.409739
1566,-4.243481
1605,1.292999
1657,-0.810909
1667,-10.27473
1694,-7.544666
1733,-7.17345
1741,-6.253915
1748,-13.45731
1752,-7.977906
1759,-11.58749
1760,-7.61429
1796,-9.526067
1811,-7.58817
1820,-4.939163
1878,-9.765302
1881,-8.121831
1889,-6.065289
1962,-5.574917
2005,-9.728941
2011,-9.269395
2031,-5.989789
2041,-4.795651
2061,-5.892841
2091,-3.352787
2129,-8.717451
2137,-11.06761
2196,-13.42449
2203,-8.130739
2223,-4.324132
2230,0.6807018
2232,-3.440445
2236,-2.566832
2242,-12.69564
2255,-7.316351
2264,-8.897516
2290,-7.700521
2305,-5.669635
2331,-11.70026
2363,0.1611124
2369,-5.464877
2382,-12.67177
2384,-8.637825
2416,-6.87917
2419,-4.471391
2448,-4.966533
2461,-6.830072
2471,-3.22509
2498,-5.610817
2507,-10.20743
2522,-9.924615
2539,-6.191091
2548,-5.350496
2568,-6.175453
2628,-5.592052
2654,0.6615425
2666,-3.14765
2669,-3.117566
2670,-5.44011
2674,-4.819289
2675,-4.79952
2716,-5.87932
2721,-5.056247
2749,-7.627594
2764,-9.082028
2836,-4.888644
2876,-7.440203
2878,-5.528979
2882,-3.256177
2906,-6.904027
2907,-12.54384
2921,-13.04679
2927,-10.8131
2948,-9.695536
2961,-13.91858
2970,-5.393663
2979,-12.28499
3010,-7.573525
3026,-8.024185
3058,-5.373058
3125,4.321855
3127,-9.480637
3136,-5.498472
3156,-9.501233
3173,-11.28753
3203,-4.263224
3248,-11.94026
3266,-10.78599
3270,-5.157081
3288,-2.965692
3310,-4.369688
3326,0.3448523
3336,-4.864791
3342,-4.035606
3348,-1.304246
3357,-6.295726
3360,-4.628491
3371,2.239113
3375,-12.14437
3413,-10.72382
3419,-0.6141044
3427,5.058279
3440,-11.93306
3463,-10.54969
3503,-4.118789
3505,-3.202094
3512,-4.373816
3524,-6.775776
3532,-5.275863
3553,-7.664693
3562,-3.556908
3568,-2.532526
3627,-5.966901
3632,-5.372605
3647,-7.839856
3648,-4.149514
3668,-5.342367
3698,-1.631736
3711,-2.370973
3720,-0.6522222
3733,-9.743211
3740,-3.113421
3755,-4.377026
3770,-0.2857803
3834,-6.342999
3837,-6.20035
3852,-5.891136
3884,2.081287
3890,-2.558192
3932,-2.628794
3986,-1.099506
4043,-3.27676
4046,-4.494848
4064,-0.9455986
4067,1.785153
4079,-6.185287
4082,-4.273906
4087,-7.017918
4101,-6.620441
4150,-4.369595
4156,-7.809085
4158,-2.483749
4169,-0.5259161
4172,-8.158268
4177,-3.334052
4178,-10.22158
4216,-9.549408
4232,-5.189389
4244,1.246118
4252,-1.135809
4260,-1.818073
4264,-2.259638
4348,-7.262042
4364,-8.083467
4369,-6.641587
4371,-3.897986
4392,-1.884974
4468,-3.43122
4492,-3.048046
4495,-4.869514
4539,-5.060955
4568,-5.599314
4608,-7.925469
4611,-3.502121
4661,-10.11024
4697,-8.059845
4721,-4.294837
4735,2.224816
4771,-8.414428
4809,-7.308185
4819,2.116641
4835,-6.931258
4859,-1.128597
4896,-1.902723
4926,-5.937109
4928,-1.218648
4944,-5.864881
4958,-8.500821
5067,-3.729616
5074,-8.803169
5115,-6.129237
5143,-7.511081
5154,-5.953
5161,-4.024488
5170,-3.429837
5194,-6.741154
5206,-10.12936
5247,-8.067895
5270,-8.358709
5285,-5.256539
5291,-6.362214
5347,-5.303343
5375,-10.2805
5383,1.251414
5386,-7.69718
