ID,tbv_m
3,1.966676
8,7.444113
41,4.311276
70,1.188284
72,7.807717
86,1.225074
105,5.594754
125,-2.449636
134,2.705833
140,-2.986237
146,3.754145
163,1.906397
214,-0.1713901
272,4.24083
277,2.526566
288,-2.75374
302,2.852934
309,-0.01491507
397,3.102442
399,5.291864
413,-2.555418
436,4.343182
451,0.7656514
479,-2.190203
482,2.766144
504,-0.744169
549,3.553945
564,2.485032
567,4.29476
573,1.306262
582,9.682158
585,6.245729
601,2.872724
635,4.655407
647,8.128512
662,7.224591
742,9.679173
767,3.534969
791,10.23034
796,13.04724
804,9.572918
885,-2.417874
889,11.22991
900,-2.787477
912,-0.8281737
921,2.160335
924,2.291926
936,7.243921
954,1.86842
1019,6.525456
1026,0.1176163
1054,-2.000947
1059,4.018112
1065,2.287922
1069,0.3250516
1105,-4.319928
1130,-5.597903
1142,-3.15585
1203,-4.714249
1207,1.315345
1249,-13.23734
1252,-7.516106
1254,-6.744704
1260,-13.56051
1261,-7.169869
1283,-4.397792
1308,-2.287081
1317,-6.384368
1318,-9.431943
1328,-7.904573
1336,-3.260423
1367,-14.55003
1402,-3.436799
1476,-14.75575
1481,-3.061776
1482,-3.93298
1490,-7.560697
1546,4.151699
1547,-10.1343
1569,-7.891887
1571,-7.641611
1575,-0.3590881
1577,-6.180369
1610,-3.555181
1643,-12.46887
1644,-9.721785
1661,-11.02378
1664,-11.09323
1701,-6.505115
1716,-4.788072
1732,-5.543848
1734,-2.391714
1766,-1.390291
1808,-9.050876
1813,-6.405367
1822,-5.671358
1849,-1.570451
1864,-5.029619
1898,-4.980822
2003,-4.569048
2026,-3.515086
2036,-3.178827
2054,-8.653015
2082,-3.391327
2159,-2.472984
2238,-6.449506
2253,-5.232119
2256,-8.180382
2267,-15.27067
2280,-4.981097
2343,-3.597357
2345,-4.096975
2350,-9.908663
2372,-8.309523
2378,-1.05076
2414,-13.04192
2435,-8.821042
2440,-5.988918
2449,-4.439537
2454,-4.632649
2482,-12.27731
2502,-14.54796
2504,-5.855362
2540,-9.02075
2548,-5.350496
2572,-8.319135
2578,-3.457061
2615,-1.728809
2631,-3.78165
2641,-7.861522
2649,-1.98669
2650,-1.027436
2666,-3.14765
2669,-3.117566
2670,-5.44011
2694,-11.47974
2702,-10.38456
2718,-6.128658
2723,-6.64658
2769,-1.917928
2785,-6.702181
2789,-8.739344
2823,-2.998043
2878,-5.528979
2910,-7.356987
2918,-4.830227
2927,-10.8131
2936,-9.301685
2982,-11.16971
2983,-9.687481
2987,-8.648421
3023,-7.646935
3044,-15.71984
3056,-12.38468
3094,-2.775681
3113,-7.857567
3117,-7.08402
3122,-6.791848
3129,-3.323677
3133,-11.02417
3165,0.193857
3195,-2.920055
3222,1.728902
3259,-7.170045
3290,-11.26228
3302,-3.665779
3314,3.759473
3346,-7.104833
3368,-1.157758
3377,-6.90317
3378,-5.412795
3397,-4.641767
3411,-0.02769736
3414,-5.05451
3419,-0.6141044
3473,-5.813231
3475,-9.387153
3484,-9.674481
3515,-8.346168
3519,-10.67379
3553,-7.664693
3569,2.71444
3580,2.105786
3583,-4.314582
3592,-10.70174
3612,-0.749403
3622,-6.79847
3628,1.976852
3633,0.2727695
3634,-1.030545
3660,-5.813792
3718,-6.481527
3724,-11.86685
3732,-8.621976
3742,-5.339768
3746,-7.429465
3765,-3.645001
3776,-9.955299
3803,-8.283279
3811,-3.462589
3832,-5.988263
3840,-5.86141
3910,-12.48008
3923,-1.183008
3937,-8.781257
3968,0.8507496
3984,-4.611493
4006,1.436281
4011,-1.936227
4021,-4.260074
4057,-0.3778463
4126,-11.15069
4150,-4.369595
4226,-5.421965
4229,-9.405335
4233,0.8520561
4240,-5.255847
4274,-8.354102
4291,-6.70867
4322,-2.858668
4375,-11.08545
4381,-1.650753
4395,-3.170566
4411,-2.015978
4415,-7.518007
4421,-6.421263
4424,-4.249236
4445,0.8353833
4464,-5.916127
4509,-3.617567
4559,-0.5839347
4570,-12.72049
4578,-1.333998
4606,0.9819979
4609,-1.778434
4644,-5.761205
4678,-1.395963
4696,0.9540402
4697,-8.059845
4700,-4.417386
4777,-1.249793
4801,-7.453982
4814,-5.113605
4835,-6.931258
4838,-5.23206
4879,3.76618
4904,-7.941941
4907,-0.2255982
4976,-5.793224
5000,-8.545395
5021,-1.927428
5036,2.336096
5068,-5.504105
5077,-7.192963
5092,1.511334
5127,-3.899982
5134,4.384157
5142,-2.161976
5163,-8.175015
5212,-7.694186
5219,-1.615546
5237,4.768161
5276,-1.092182
5281,-3.220685
5282,-5.652258
5289,-7.59773
5306,-0.8931995
5317,0.6010572
5319,-8.585202
5412,-4.839168
5416,-5.267349
5419,1.717982
5431,-1.661345
5432,1.969413
5447,-8.837232
5486,-3.713623
5488,-1.405233
5519,-4.630754
5572,-10.57237
5637,-11.06378
5641,-2.564864
5645,-7.072321
5687,-4.13066
5706,-2.376664
5735,-6.293897
5779,-1.870025
5786,-1.055436
5788,-2.534988
5794,-9.249138
5803,-4.014877
5845,0.4980024
5866,-5.716324
5906,1.579421
5922,-8.830259
5966,2.325781
5969,-4.779552
5976,-6.244581
5977,-1.688735
5993,-7.560314
6002,-5.727351
6024,-7.515494
6028,-3.629464
6045,-2.911576
6067,-4.282229
6075,1.772129
6085,-4.374656
6097,-10.35078
6108,-8.020422
6123,-6.950878
6126,-7.324725
6136,-3.679846
6142,-8.831786
6147,-1.961869
6161,-6.323728
6178,-1.832405
6214,4.74712
6250,-7.382519
6259,-10.52097
6262,-6.281586
6267,-5.007133
6279,-3.777301
6280,-5.527392
6288,-7.530231
6303,-0.5323795
6348,-4.030406
6369,-7.903904
6379,-6.441026
6392,-3.20576
6407,-0.8465043
6477,-2.331617
6484,-5.603466
6510,-1.019576
6544,-4.819715
6562,-6.962822
6612,-3.836271
6653,-5.440678
6685,-1.312818
6691,-5.549176
6738,-0.2025233
6749,-0.8870138
6778,-8.524457
6783,-7.105262
6785,-4.043779
6799,1.616796
6814,-7.864754
6848,3.144284
6857,-5.953691
6929,-2.880236
6930,-1.98983
6941,-3.925367
6972,3.799375
6978,-0.6134699
7022,-1.982982
7083,-0.8921284
7086,-9.765836
7103,-0.864039
7105,-0.8241124
7115,-8.233501
7117,1.379935
7120,3.692066
7134,1.121864
7138,6.357344
7173,2.057281
7182,-2.35771
7221,-0.5643139
7271,1.380208
7273,-5.49546
7275,3.355993
7293,-0.6029087
7303,-2.033675
7342,-3.962734
7363,-10.64998
7395,2.965276
7406,-4.872519
7418,3.303297
7423,3.989021
7430,1.076481
7436,-11.23704
7447,2.103533
7475,-2.945166
7509,1.682413
7529,0.06630671
7531,-8.197257
7556,-1.3078
7588,5.779731
7630,-3.702589
7638,-3.646832
7647,-3.726363
