ID,tbv_m
8,7.444113
32,-1.356082
38,-0.3414892
51,1.319682
67,9.141968
72,7.807717
86,1.225074
103,4.389812
124,-1.758179
187,-0.04521947
276,3.416603
282,-0.6310752
339,8.799117
341,2.747645
358,2.165527
360,2.471383
402,3.451951
426,5.020018
441,-1.586082
456,8.804497
464,-2.12202
493,1.742685
502,5.517315
548,6.217864
589,1.100599
665,9.157268
668,6.213159
713,5.28213
719,2.028365
721,4.540713
736,4.365855
744,8.151406
747,8.707486
765,0.5645905
785,1.030416
790,6.369799
816,-1.925248
830,-0.3528087
880,-3.442892
884,-1.814477
895,-2.367648
904,8.917062
973,5.879032
975,4.458078
999,4.877611
1022,2.041405
1031,5.055047
1043,3.193754
1061,-0.2519838
1070,0.6811478
1082,7.415074
1095,0.003861526
1096,5.757585
1097,2.050441
1099,3.034186
1114,-5.867591
1122,-6.680156
1130,-5.597903
1133,-0.9359354
1143,-8.007436
1147,-5.809909
1163,-1.833275
1181,-6.576156
1212,-6.765647
1229,1.112684
1235,-5.372799
1241,-6.416963
1250,-9.203533
1309,-0.2761159
1312,-7.174686
1340,-5.544521
1345,-3.863064
1357,-6.979214
1371,-11.37087
1377,-10.64164
1393,-8.170081
1415,-7.104914
1420,-9.018968
1446,-4.628398
1459,-7.751957
1461,-11.63427
1510,-5.667394
1522,-12.42538
1534,-5.588631
1539,-8.20587
1544,-9.798977
1580,-11.07383
1601,-8.870225
1627,-10.63013
1640,-5.731853
1658,-5.673826
1665,-4.080888
1682,-10.17981
1695,-7.675526
1698,-2.075786
1716,-4.788072
1740,-3.461093
1774,-11.71696
1792,-5.267942
1821,-3.172898
1850,-10.99158
1871,-11.81501
1875,-12.99799
1887,-7.51373
1902,-4.178283
1905,-4.772155
1911,-9.690134
1936,-9.814112
2029,-6.792723
2041,-4.795651
2057,-10.53657
2068,-8.285247
2069,-9.173681
2079,-9.956413
2089,-5.287917
2103,-11.94121
2129,-8.717451
2133,-8.780115
2143,-2.450779
2174,-7.442741
2182,-9.487244
2212,-5.302901
2215,-5.448078
2272,-4.787041
2277,-7.708283
2295,-12.14898
2308,-3.452864
2325,-2.45835
2337,-7.673008
2342,-11.36794
2353,-10.07129
2377,-3.58184
2416,-6.87917
2430,-2.298302
2472,-1.752175
2504,-5.855362
2507,-10.20743
2517,-2.703653
2578,-3.457061
2582,-6.803815
2625,-2.341745
2651,-6.677767
2669,-3.117566
2689,-5.190987
2714,-12.141
2770,-3.311374
2797,-3.551548
2806,-7.407253
2824,-1.152948
2855,-2.429376
2886,-7.901461
2938,-6.766623
2962,-12.88637
3024,-7.006198
3051,-16.24235
3103,-0.5399563
3133,-11.02417
3137,-6.900908
3153,-4.687003
3163,-0.3414098
3189,-11.13428
3229,-8.574038
3239,-0.5330815
3296,-4.911777
3302,-3.665779
3327,-0.8400489
3335,-5.946614
3340,-6.558973
3375,-12.14437
3397,-4.641767
3403,-3.527682
3410,-4.906161
3431,-3.53646
3445,-2.491563
3447,-6.950507
3475,-9.387153
3525,-7.131842
3529,-7.584996
3538,-12.25164
3564,-5.075647
3605,-9.886201
3606,-6.167645
3608,-11.25872
3618,-5.382393
3648,-4.149514
3650,-0.3777531
3671,-9.337567
3728,-3.929151
3777,-2.608786
3797,-5.621033
3807,-7.032764
3845,-5.928365
3878,-1.651046
3879,2.310424
3880,-8.439352
3884,2.081287
3894,-6.725432
3920,-0.8544041
3967,0.5299756
3968,0.8507496
3969,-9.318619
3978,-3.550336
3981,-15.0466
3995,-11.06037
4021,-4.260074
4030,1.43084
4061,-6.730294
4062,-4.73822
4083,-0.1445863
4100,-3.437873
4103,-1.127983
4145,-3.162637
4149,-2.261609
4153,-7.580166
4155,-4.847482
4177,-3.334052
4182,1.033253
4221,-7.38031
4223,-5.684983
4246,-7.012958
4285,8.750301
4298,-2.389891
4307,-6.965037
4366,-5.418008
4412,-0.2805158
4430,-8.300481
4444,-9.228574
4462,-7.802866
4477,-6.667212
4497,-11.54883
4503,-5.827196
4514,-3.532228
4533,-0.004132247
4536,0.6735338
4568,-5.599314
4576,-7.937864
4582,-0.6741217
4588,2.287887
4619,-4.219407
4657,-4.880477
4686,-12.18492
4690,-9.045287
4756,-5.430019
4788,-3.077862
4820,-3.552998
4834,-6.197093
4865,-5.151882
4878,-5.056725
4883,-2.781928
4906,-2.690253
4927,-5.714929
4942,2.221012
5001,-6.892626
5074,-8.803169
5082,-0.2388502
5108,-7.31894
5121,-4.55453
5122,-11.67343
5131,-1.712616
5221,-3.628483
5274,-2.18997
5286,-7.189117
5302,-4.709876
5335,-0.9567122
5361,-3.257608
5375,-10.2805
5381,-3.057217
5417,-4.956945
5429,0.3152541
5432,1.969413
5457,-0.6214475
5472,0.8607149
5510,-3.74854
5515,-3.831551
5517,-8.723726
5540,4.358779
5624,-1.654964
5643,0.8066604
5659,-11.2571
5674,-9.487219
5685,-0.5843887
5689,-4.77457
5736,1.023758
5745,1.406631
5749,-2.422871
5750,-3.552966
5827,-2.468205
5896,1.209255
5942,-6.620137
5945,-4.561786
5947,-2.660857
5952,-1.802426
5957,-5.861916
5982,-11.35264
6000,-0.6807886
6017,-0.9413589
6022,-2.046142
6091,-0.5214789
6164,-2.481159
6168,-6.032472
6183,-1.454427
6207,-6.554597
