ID,tbv_m
18,0.3054386
21,-0.08317684
42,-0.2129923
57,8.436272
62,5.559717
65,-1.634104
67,9.141968
85,5.378661
86,1.225074
130,5.545887
139,6.588908
193,4.961347
197,1.810504
202,3.204622
223,2.594093
257,7.00052
272,4.24083
291,0.3409887
294,0.9142001
308,-1.241627
343,4.890468
353,-0.3706042
412,-4.780067
471,3.301763
481,0.2041902
559,1.773239
565,8.658154
611,6.661947
685,4.409775
697,2.38215
754,7.349589
762,10.11795
785,1.030416
790,6.369799
795,3.14451
835,1.120978
841,2.991274
848,9.212129
852,10.39083
861,0.5409627
864,6.382727
884,-1.814477
890,8.897984
902,0.8934164
922,6.176593
928,5.215634
957,15.42394
963,-3.383235
980,3.853148
986,6.875739
1001,2.074308
1035,1.624487
1060,5.277654
1069,0.3250516
1080,10.531
1111,-8.729196
1187,-9.237715
1189,-8.319211
1228,-6.02078
1278,-5.497043
1313,-10.44291
1339,-3.94398
1341,-10.6125
1356,-3.198139
1358,-3.918978
1381,-8.103268
1382,-4.972901
1386,-8.169335
1387,-9.197102
1398,-9.253209
1402,-3.436799
1407,-8.403509
1435,-12.42223
1441,-0.283715
1459,-7.751957
1493,-6.213693
1504,-3.94957
1508,-6.653616
1521,-15.07493
1535,-3.872035
1566,-4.243481
1572,-9.282527
1573,-4.769177
1585,-4.695112
1648,-6.872138
1657,-0.810909
1677,-10.665
1686,-11.77735
1690,-3.543115
1698,-2.075786
1734,-2.391714
1740,-3.461093
1765,-1.734167
1809,-5.867764
1813,-6.405367
1833,-5.926023
1842,-1.396838
1851,-1.253569
1873,-7.45674
1880,-9.728614
1890,-3.739639
1901,-6.035645
1914,-10.4819
1919,-5.736372
1943,-3.809393
1952,-4.234989
1971,-7.673511
1989,0.2491125
2090,-4.073579
2112,2.644781
2138,-12.7598
2168,-6.475865
2172,-10.12122
2173,-4.758711
2186,-6.102483
2196,-13.42449
2237,-4.428569
2262,-7.255101
2288,-6.779933
2307,0.2700412
2330,-4.603727
2336,-4.589731
2361,-5.818118
2371,-6.435248
2408,-10.59489
2414,-13.04192
2423,-3.43729
2438,-8.633477
2448,-4.966533
2483,-12.75402
2487,1.625058
2558,-12.04099
2588,-7.838174
2591,-4.134334
2673,-10.77193
2709,-2.723812
2726,-3.237821
2732,-7.026713
2735,-4.948405
2748,-9.36857
2756,-10.19473
2779,-5.234404
2854,-6.427255
2864,-2.279521
2878,-5.528979
2886,-7.901461
2896,-5.949367
2900,-7.549184
2928,-15.96567
2931,-7.072752
2951,-7.914917
2973,-11.08154
3023,-7.646935
3041,-7.270492
3079,-10.76805
3152,-2.239937
3165,0.193857
3168,-2.019324
3170,-0.5776929
3175,-2.697142
3187,0.192524
3202,-10.10487
3221,-8.781579
3253,-2.991108
3256,-7.155687
3272,-6.939933
3278,-2.146431
3282,-3.538711
3371,2.239113
3383,-5.104044
3397,-4.641767
3411,-0.02769736
3419,-0.6141044
3428,1.745055
3448,-8.379408
3482,-2.688968
3494,-9.541102
3548,-4.002819
3596,-3.449849
3602,-2.789845
3617,-7.824499
3645,-11.01295
3662,-5.695669
3672,-6.440706
3678,-6.886431
3707,-3.87731
3726,-2.009885
3753,-4.857432
3772,-5.172987
3782,-4.883794
3795,-8.553672
3857,0.9595133
3859,-4.791533
3865,-1.543929
3893,-2.951992
3912,2.633228
3959,-10.07536
3977,-13.75571
3980,-9.163265
3982,-11.40286
3991,-5.492519
4004,-4.679376
4015,-10.10028
4072,-8.868386
4121,-0.6456774
4126,-11.15069
4141,-6.313538
4144,-4.834966
4153,-7.580166
4186,-2.003101
4212,-8.189967
4215,-7.925223
4222,-8.084945
4228,-6.473655
4239,-5.717241
4332,-4.816808
4359,-6.359343
4371,-3.897986
4409,-6.466597
4446,-4.014112
4461,-6.121774
4462,-7.802866
4485,-4.615279
4504,-1.112397
4562,-4.563361
4564,-2.410681
4575,-8.617235
4613,-7.878117
4615,-8.554271
4628,-2.794601
4633,-2.409798
4637,-3.627546
4638,-3.955916
4641,-9.160101
4653,-7.723313
4723,2.753338
4746,-0.2594955
4790,-8.13452
4813,-4.450582
4826,1.687661
4832,-6.375832
4836,-5.260335
4841,-3.602668
4842,-3.147778
4851,-4.461042
4868,-7.708044
4896,-1.902723
4913,-2.519531
4936,-7.284271
4947,1.175737
4979,-4.457899
5000,-8.545395
5022,-3.939365
5054,-2.469043
5055,-4.422192
5151,-7.309692
5198,-6.161022
5212,-7.694186
5213,-3.559931
5243,-1.334873
5279,-2.147393
5294,-3.82075
5295,-5.174535
5328,-3.689315
5363,-1.829175
5372,-0.8139575
5384,3.926334
5394,-8.050303
5395,-5.290457
5404,-1.810684
5470,-2.20194
5473,-5.883468
5517,-8.723726
5547,6.759385
5647,-0.9737179
5657,-3.463968
5685,-0.5843887
5702,-0.4051273
5714,-8.952586
5724,-2.84629
5769,-5.868987
5776,1.629203
5778,-3.891893
5783,-7.280751
5822,-3.229593
5838,0.1290494
5842,-3.475686
5873,-2.689656
5889,-4.759704
5931,-3.114713
5937,-0.1014308
5944,0.1058273
5964,-0.1336613
5973,-6.339635
5975,-3.420707
5989,-5.424405
6011,-2.725102
6015,2.166754
6021,-9.147655
6054,-3.586955
6057,-10.2762
6075,1.772129
6122,1.014151
6130,-9.537727
6142,-8.831786
6146,-4.417434
6179,-2.321786
6205,-4.414992
6213,2.266126
6256,-9.902283
6257,-1.820878
6286,-9.233028
6344,-0.9902403
6366,-2.00696
6367,-7.079354
6382,-2.430278
6406,-3.159996
6408,-4.628824
6417,-5.199251
6419,0.8754825
6444,-2.451254
6451,2.421809
6459,-10.89119
6466,-6.924493
6475,-6.522592
6494,0.8274113
6518,1.600206
6532,-5.811358
6550,-5.626617
6575,-10.70441
6591,0.1247804
6628,-0.6995577
6641,-3.056791
6650,-2.387909
6654,-3.076333
6676,-0.07263453
6697,-10.38117
6733,0.2088337
6760,-5.264252
6792,-2.467696
6817,-2.937735
6825,-4.467413
6848,3.144284
6850,-5.886531
6914,-4.928172
6929,-2.880236
6930,-1.98983
6964,3.685061
6991,-1.825352
7015,-4.685203
7021,0.9670741
7043,-4.374275
7061,-2.218109
7089,1.389752
7098,-1.8434
7104,0.3909044
7132,-5.314136
7138,6.357344
7183,-2.147737
7196,-2.597251
7250,-4.058194
7273,-5.49546
7332,2.171099
7349,-5.117975
7361,-6.730953
7365,0.762835
7371,0.201433
7378,0.469131
7400,3.219566
7417,-0.6022513
7424,3.480835
7425,0.2984041
7429,-1.742562
7441,5.522411
7517,-3.884113
7519,-4.197507
7550,2.3772
7553,-2.746972
7597,-5.981776
7607,-0.6835393
7664,-2.356245
