ID,y
30,13.11412
43,10.70791
75,17.62978
99,13.87159
100,18.34605
144,23.57818
191,30.54843
192,21.9352
212,16.97244
216,7.669469
227,12.486
238,1.661916
373,19.37302
376,18.68334
382,2.037105
386,10.18268
394,13.39052
402,27.02512
407,21.95529
410,13.67318
432,14.55606
457,16.80363
491,15.70498
549,17.5679
575,11.78816
613,28.32176
630,20.17651
652,15.70226
663,8.297364
688,23.37274
689,13.55583
747,23.59219
749,14.33501
760,29.98705
772,15.6465
775,8.989279
777,8.108679
790,21.30443
809,19.30009
825,7.670959
839,23.42905
842,9.073296
859,34.02496
886,6.070289
892,18.81502
910,17.12564
933,20.93487
950,16.50812
995,19.99137
1013,20.11378
1021,31.03543
1065,17.9527
1078,23.61231
1096,15.42974
1100,16.74704
1113,19.12501
1158,-1.524715
1171,11.38351
1187,2.414959
1192,-1.550285
1210,14.04039
1238,11.68584
1246,-5.751318
1250,2.489496
1277,13.71583
1313,9.854174
1318,8.643427
1321,22.06176
1323,9.858611
1334,14.29039
1344,4.635747
1372,7.988513
1395,-0.6238299
1403,16.9138
1410,10.92204
1425,-0.9324295
1432,10.02919
1435,1.040304
1524,1.436646
1526,5.53274
1536,15.12119
1539,8.827502
1554,8.575655
1557,19.01632
1608,6.814376
1616,4.480625
1623,-6.036973
1640,1.893852
1645,4.087254
1652,8.016391
1658,13.32242
1686,13.74833
1730,4.851545
1739,2.013783
1743,0.3131691
1774,-0.4450562
1822,-3.336419
1823,11.45244
1857,13.30636
1859,22.25775
1867,1.329236
1881,4.964547
1884,14.09669
1888,12.3627
1913,6.499154
1932,3.347369
1935,13.53606
2013,14.1608
2024,14.91745
2078,17.89918
2086,8.612834
2124,-8.852694
2130,12.83938
2137,-0.2003336
2196,-1.943335
2248,1.346803
2260,2.599736
2294,3.140404
2298,1.586045
2299,15.66423
2300,9.137128
2305,6.812377
2306,13.82575
2325,-9.513239
2349,6.198978
2357,11.85458
2370,11.3848
2391,11.64681
2394,0.229995
2410,9.196044
2427,20.43236
2442,23.81181
2452,2.417805
2483,-3.279461
2525,-0.3206269
2583,13.13527
2622,13.23293
2637,5.940757
2657,25.41607
2690,8.965543
2726,16.52017
2737,9.252172
2757,-2.39167
2785,1.906773
2815,7.829273
2860,5.089351
2912,23.07423
2950,1.155695
2952,-6.252143
2991,4.752566
3037,11.88284
3048,9.967943
3066,11.07938
3081,15.83558
3099,0.6289839
3120,6.963685
3125,15.7104
3143,11.03453
3151,12.06112
3188,15.83824
3193,12.16647
3205,11.37096
3223,6.86938
3233,3.432327
3278,12.18749
3282,13.84161
3286,20.20664
3337,24.37496
3361,-0.1150777
3372,17.69292
3396,10.15617
3433,7.935387
3444,7.9151
3478,14.34676
3480,10.71874
3494,7.26076
3543,12.43357
3544,1.857054
3550,6.871529
3551,9.869288
3562,3.788131
3565,15.84642
3566,14.98017
3570,12.62433
3585,16.61734
3594,9.951806
3605,-2.45428
3638,11.53219
3644,2.640886
3659,4.495554
3665,9.357853
3667,2.573946
3673,4.96219
3680,11.86616
3696,9.116747
3786,9.900955
3790,7.6259
3852,14.37941
3887,14.30366
3958,27.22975
3959,-1.545487
3992,3.774392
3997,14.39079
4061,-2.298428
4077,4.772197
4082,17.92921
4097,4.520683
4114,4.216594
4163,1.747533
4188,8.411998
4213,13.34877
4218,13.66028
4223,3.936958
4259,11.49628
4283,9.23512
4289,3.131457
4290,12.29309
4308,-2.866686
4350,1.573544
4362,10.92645
4388,8.522991
4402,8.286707
4407,16.82973
4431,17.20768
4440,6.269728
4467,5.490715
4494,17.18399
4502,12.53921
4505,2.482778
4514,8.824315
4574,10.06412
4579,3.507068
4581,9.272617
4583,11.37068
4589,5.370019
4591,23.53652
4592,12.14885
4600,13.98003
4682,18.64599
4716,-6.109067
4765,13.62933
4779,14.03033
4787,11.98205
4855,7.129214
4873,8.370147
4913,22.87064
4921,22.24437
4945,14.20095
4960,6.202685
4966,-1.284786
5028,5.024985
5049,9.370851
5069,0.8990809
5081,20.49874
5099,5.044579
5125,10.63374
5140,6.635296
5190,11.28945
5219,21.1033
5223,16.88762
5255,18.75942
5256,11.1317
5311,1.346769
5313,16.48303
5327,14.63759
5402,7.360228
5408,0.4598084
5413,17.09754
5431,6.162225
5456,14.76231
5461,12.50337
5469,17.87805
5508,15.68015
5545,11.42932
5575,8.347937
5583,26.63618
5589,12.01333
5593,7.724719
5606,9.962818
5631,15.17291
5695,18.61589
5703,15.94903
5706,17.80911
5713,18.72971
5723,12.35617
5781,7.451938
5795,26.15105
5863,17.98183
5911,7.435091
5913,10.20558
5919,4.161567
5922,10.85615
5951,5.775851
5956,7.958172
5957,8.602389
5970,8.433862
5981,13.19646
5987,18.96877
6027,15.82783
6028,16.06788
6032,19.74591
6045,15.8173
6054,3.762984
6141,10.49676
6164,11.69988
6207,17.14134
6251,14.87542
6263,10.959
6268,6.025066
6271,16.68726
6293,13.91072
6312,1.087402
6323,20.68643
6327,3.895768
6346,3.304278
6423,17.64721
6430,0.2367356
6458,6.065917
6496,4.561985
6508,13.70862
6525,8.026563
6534,18.73942
6538,6.917584
6543,21.18992
6555,3.408965
6569,-1.071875
6574,11.25748
6581,11.31904
6598,30.76888
6606,24.04309
6610,19.26636
6617,0.9674312
6630,19.66336
6632,18.16734
6639,15.35607
6643,24.93471
6667,23.60842
6680,2.463256
6707,10.08609
6733,17.39674
6738,21.0408
6759,8.405449
6768,17.92343
6810,2.339532
6868,13.15761
6870,13.17215
6873,14.98844
6888,15.92214
6895,23.15663
6896,21.65308
6946,17.39596
6957,14.96918
