ID,y
3,13.66332
42,22.9402
43,10.70791
56,16.15895
72,29.30201
81,27.47274
85,30.83127
96,27.97206
151,17.29619
167,31.43807
191,30.54843
196,16.04006
240,32.22668
243,27.51806
266,2.63137
359,20.89264
370,14.15952
387,15.90846
410,13.67318
414,15.16451
477,17.46114
518,21.21674
523,10.92509
548,23.26704
568,19.5649
622,8.642139
654,23.0688
666,16.13242
685,11.20041
704,8.932289
710,19.99672
777,8.108679
780,10.17616
782,14.30905
828,11.40072
832,24.4432
835,16.22141
842,9.073296
846,7.275425
855,15.36771
861,22.03067
896,24.92207
905,17.32493
915,14.05589
925,34.26544
941,21.82364
945,15.7058
947,20.25621
962,20.80921
1046,13.79336
1050,10.64014
1058,30.42244
1064,22.42608
1089,13.17775
1100,16.74704
1127,11.0275
1134,4.619637
1154,1.538998
1156,8.026136
1160,14.9129
1185,6.463278
1193,-1.259499
1205,5.324882
1261,9.672092
1284,16.151
1286,17.16753
1303,10.49311
1304,3.843188
1309,10.6012
1315,8.976827
1321,22.06176
1343,23.36432
1447,8.587754
1455,9.814689
1478,8.174152
1480,-1.655317
1482,6.815094
1496,7.179279
1497,6.426284
1522,3.145021
1533,6.379221
1594,7.852978
1611,14.23087
1617,5.163065
1627,-0.4260788
1635,4.238816
1673,2.121577
1703,-7.595647
1735,13.41719
1766,9.235398
1782,16.12919
1788,9.791307
1811,15.41838
1832,-6.10254
1852,14.16966
1865,7.570992
1868,-13.11977
1887,8.648529
1888,12.3627
1900,1.984661
1918,-2.436514
1957,4.673875
1968,22.10678
1974,2.295219
1999,2.893347
2018,4.940716
2038,5.013053
2069,-3.780968
2084,12.23345
2101,19.03624
2126,-4.842231
2127,4.340199
2199,5.376152
2242,1.853134
2305,6.812377
2314,10.91622
2319,-8.017474
2325,-9.513239
2328,1.052886
2351,8.367369
2368,21.33871
2401,9.694783
2440,12.22924
2450,3.606076
2473,5.373096
2493,7.193084
2516,13.62466
2533,6.333488
2548,7.44178
2577,12.11909
2581,-4.856894
2587,11.20033
2598,10.47275
2617,15.7257
2630,4.639314
2643,12.53728
2675,8.93179
2693,7.379469
2707,1.301093
2739,9.537688
2769,24.12139
2783,8.384628
2784,3.633274
2804,6.670529
2819,15.46269
2851,10.86884
2863,13.94508
2872,1.226518
2910,-1.465866
2912,23.07423
2932,-1.213875
3006,14.99515
3019,13.04413
3029,5.783985
3071,13.8272
3170,15.33564
3202,2.060039
3219,19.12069
3234,7.091728
3261,9.359835
3280,8.820171
3331,0.03869567
3334,14.03704
3335,3.934639
3405,5.438169
3419,6.252432
3421,16.30822
3422,6.037272
3433,7.935387
3515,12.80516
3589,11.09793
3595,5.285083
3628,13.89232
3635,9.216782
3648,1.641269
3665,9.357853
3667,2.573946
3671,3.593164
3700,9.403456
3716,18.15529
3760,10.69833
3761,8.743027
3797,10.55748
3802,-10.1955
3835,15.18276
3860,10.30365
3861,3.367492
3869,-1.188176
3888,-0.1355426
3914,9.561171
3930,10.44067
3957,15.80643
3971,3.72199
3973,2.1654
3975,13.79315
3978,6.112287
3981,-0.9723336
4003,14.03601
4041,11.82474
4072,-0.8398125
4100,7.306372
4103,13.86336
4117,10.85223
4276,-0.9465658
4277,1.822126
4281,11.68464
4305,0.5832204
4321,11.01878
4345,10.68026
4395,10.17998
4432,-0.7677729
4446,20.24318
4455,13.26359
4472,9.411964
4482,4.52896
4510,0.6434119
4514,8.824315
4532,-1.24939
4541,-10.09828
4554,15.5631
4556,7.779732
4560,10.608
4593,19.47766
4597,6.07657
4600,13.98003
4643,9.812474
4649,5.043037
4676,16.22915
4679,1.262593
4683,18.4926
4688,5.387408
4690,-0.8141364
4707,7.183924
4720,16.4072
4742,6.446291
4758,-5.742455
4802,10.35553
4845,6.098036
4887,9.085746
4889,-1.145101
4894,-2.117769
4897,2.315655
4914,9.486703
4951,16.41612
4953,22.75288
4957,8.853747
4975,3.818763
4982,19.75518
4994,5.815406
5012,2.15612
5047,3.4061
5052,4.680295
5054,25.98147
5067,13.53095
5079,13.75763
5102,14.70302
5131,9.750256
5147,26.06246
5185,13.24792
5193,-3.783565
5195,9.935615
5219,21.1033
5301,5.592631
5304,7.837385
5311,1.346769
5327,14.63759
5333,0.1201591
5336,19.0887
5368,16.54616
5379,31.28284
5384,28.53089
5392,18.9686
5393,9.790676
5399,17.61068
5403,6.834546
5428,20.64184
5474,-3.758207
5516,3.819191
5540,27.4241
5564,7.510176
5603,14.96956
5663,6.727649
5684,-1.880992
5722,11.03688
5739,9.511121
5772,22.32837
5797,29.13622
5802,15.38844
5822,11.36273
5825,17.17911
5845,24.56507
5847,17.47647
5855,26.68643
5857,8.519798
5887,-2.310232
5898,-0.5265553
5902,9.946514
5911,7.435091
5940,15.42813
5949,21.78372
6007,23.44256
6038,12.51493
6047,0.6460628
6097,-5.975384
6099,5.799487
6105,8.95325
6109,2.495805
6113,19.61145
6169,11.99476
6171,14.79894
6176,15.92517
6200,5.713546
6202,18.48453
6243,18.18679
6280,19.1447
6322,12.23355
6331,27.77483
6346,3.304278
6372,19.84619
6373,14.58462
6374,13.62962
6386,11.87454
6395,24.47471
6400,16.89027
6417,7.940591
6421,22.25682
6464,17.84169
6493,23.12001
6506,6.031574
6510,12.1943
6544,7.419336
6563,14.2987
6625,1.683005
6628,18.35072
6649,11.82194
6657,11.08666
6743,21.89774
6772,11.55543
6787,1.18896
6819,18.04496
6822,8.12938
6833,17.38485
6846,5.632763
6865,13.31097
6876,18.4003
6894,17.38085
6919,13.79698
6927,0.9252539
6956,9.348277
6959,31.65614
6972,21.87817
7016,12.08142
7018,20.11504
7031,3.031091
7087,13.92058
7124,19.44931
7160,17.45478
7177,10.78594
7180,7.563174
7213,18.71084
7259,13.39019
7277,3.985215
7296,10.34624
7302,7.938999
7311,23.75346
7431,1.673266
7432,14.86867
7455,35.27442
7462,14.5612
7480,10.41467
7501,14.80754
7517,3.333852
7524,19.95995
7528,11.53645
7557,22.57999
7582,5.248338
7595,13.25475
7607,21.19993
7622,37.68069
7652,10.38863
7699,4.347331
7707,24.20711
7718,15.41876
7723,6.597533
7738,21.60841
7750,21.23968
7765,18.24132
7792,5.142077
7845,19.24524
7860,26.69357
7886,17.41874
7907,27.6488
7926,13.17384
7957,15.30936
7971,17.89827
7990,3.822656
7994,8.575841
8080,11.56808
8103,9.586515
8117,8.844935
8141,3.740467
8196,6.346977
8212,33.37211
8257,11.58859
8259,12.25357
8268,22.64834
8273,7.477503
8276,14.11807
8282,17.22606
8288,6.300455
8319,8.337012
8327,11.90261
8347,12.46787
8427,9.929211
8438,17.88195
8468,6.801511
8470,43.37236
8490,17.47259
8497,18.82094
8506,21.58954
8510,32.33332
8555,21.76424
8579,15.57413
8586,14.74337
8594,18.17217
8600,26.05692
8616,7.950947
8622,15.28381
8635,11.76765
8639,16.4983
8647,21.52002
8652,25.47722
8704,4.712552
8714,26.73268
8748,14.04939
8812,18.69758
8819,22.29629
8829,32.68603
8834,8.222866
8893,24.75479
8908,23.37537
8911,12.81049
8923,23.92937
8927,22.92388
8930,16.68093
8933,6.712723
8964,21.88143
8972,16.79227
9022,11.9101
9049,25.88719
9053,25.09921
9065,13.43991
9076,16.5572
9087,16.6615
9098,17.05855
9118,9.166487
9135,11.19624
9149,22.96942
9155,16.7225
9166,4.955897
9187,20.33889
9196,23.40881
9205,12.79065
9206,17.124
9216,16.9555
9259,31.41276
9262,15.0631
9274,15.82005
9335,18.22703
9340,23.67781
9356,18.68504
9361,19.99256
9398,20.52364
9419,-1.232123
9490,15.4523
9495,9.71554
9502,28.95328
9510,15.7997
9513,9.134532
9589,14.93685
9603,23.63653
9620,21.80853
9633,18.50909
9645,14.82999
9648,19.4164
9651,18.63746
9655,19.40291
9661,24.97385
9672,17.05268
9674,27.52179
9681,21.19627
9691,14.79798
9709,23.03218
9717,16.28889
9724,18.65379
9726,32.18597
9733,12.53348
9797,13.17948
9844,20.00621
9899,17.68202
9921,7.387234
9923,19.04125
9953,33.31328
9977,21.11906
10018,19.21638
10041,19.62065
10161,24.56114
10167,18.2241
10178,19.80078
10199,8.799241
10243,17.29052
10250,21.41383
10251,24.04677
10296,21.73362
10317,16.60454
10362,14.75825
10364,24.18679
10409,4.426615
10427,22.46796
10432,10.84974
10486,13.6815
10544,22.31575
10566,12.51634
10594,20.93632
10612,19.93558
