ID,tbv
2,14.67284
11,21.87561
38,9.278247
150,22.0633
160,21.4301
161,10.74669
184,11.7267
206,10.33972
215,30.16844
236,23.20977
286,12.8125
298,12.96096
311,27.42001
322,15.41444
409,13.84777
420,21.28554
462,19.84713
477,16.8526
506,15.06838
509,18.88124
523,14.75447
527,9.632603
553,15.42405
555,15.06772
556,22.11367
594,18.92633
623,15.34087
697,14.58813
720,6.362558
736,15.19503
740,15.8111
782,17.78277
788,12.07324
798,11.90035
855,25.00964
866,11.05807
912,13.39363
916,10.45841
917,15.83748
931,21.79189
938,18.35115
946,11.91708
949,23.34821
995,18.56606
1004,18.66339
1007,23.75136
1008,25.70391
1013,21.92483
1021,26.57634
1033,15.3073
1051,17.38398
1053,24.31826
1072,15.50286
1086,19.14909
1091,20.34514
1120,6.146822
1131,14.45387
1157,9.211716
1164,17.07796
1176,10.57671
1225,10.46734
1244,4.534751
1279,9.596904
1281,17.05406
1292,10.18875
1294,16.79433
1325,10.13057
1339,10.79931
1372,6.092458
1430,-2.173048
1458,11.91443
1474,6.801157
1487,10.47517
1502,2.117837
1512,-0.5781351
1520,1.88108
1540,11.80202
1543,7.027433
1616,7.972469
1629,2.882204
1630,7.363416
1631,5.4104
1641,5.445728
1646,7.90505
1660,16.95547
1673,-3.431042
1675,5.686941
1681,11.20933
1693,14.48226
1705,-6.963727
1730,9.25248
1751,4.09627
1820,10.08291
1827,2.743034
1843,11.72653
1861,7.678446
1923,9.719197
1951,10.26369
1976,7.878897
1978,11.88777
1987,15.88079
2037,7.748198
2048,2.737918
2049,6.784825
2052,10.08205
2063,-1.465074
2080,1.774098
2104,16.92635
2127,4.215703
2151,19.09657
2161,3.389477
2175,4.56432
2178,8.570639
2180,14.4001
2217,9.55812
2218,0.1049154
2222,11.7406
2224,16.97259
2260,4.149054
2280,2.660341
2296,1.385405
2352,19.83441
2373,22.20304
2385,0.8428986
2400,1.027959
2440,7.355811
2471,5.01535
2472,14.92495
2534,12.18102
2540,7.492793
2568,3.835801
2603,11.11478
2634,5.420044
2655,15.19987
2672,4.047966
2693,6.632146
2696,6.92442
2699,9.015969
2706,4.636659
2730,2.886356
2787,8.534354
2812,0.4546662
2822,16.14788
2826,12.21434
2829,15.1025
2860,4.156191
2888,4.930485
2910,7.684801
2926,12.87273
2996,4.116124
3010,11.14869
3021,8.697524
3030,2.607561
3038,10.2123
3042,3.714587
3101,9.90845
3139,11.90254
3155,2.169418
3198,8.571983
3206,8.12999
3234,16.08222
3258,8.012115
3267,20.09409
3304,8.845853
3309,7.081814
3321,3.243397
3370,18.34654
3377,5.998756
3397,14.31018
3470,15.30376
3471,13.04496
3503,5.068385
3504,0.8891583
3514,10.31995
3515,6.158786
3517,13.42336
3518,15.48983
3531,2.986582
3567,12.14502
3576,11.84465
3579,13.94166
3630,12.17991
3643,11.3072
3655,2.495572
3694,15.93083
3737,7.185162
3745,5.469405
3749,9.85514
3751,8.063404
3753,15.0641
3767,2.705288
3776,3.243595
3804,13.01195
3811,11.59176
3813,6.81812
3822,23.01606
3833,9.75071
3834,7.803259
3871,8.431193
3936,-0.2854699
3979,4.453043
4073,7.436505
4084,5.509065
4118,16.96053
4158,8.629747
4224,13.03508
4245,10.27549
4274,10.71855
4290,9.946041
4308,0.05630734
4310,9.217612
4314,5.85292
4344,10.99892
4346,8.66792
4413,7.396142
4417,12.09803
4425,7.184712
4450,5.474378
4486,3.165859
4510,4.681117
4516,12.37323
4531,10.12463
4569,1.784157
4572,8.943021
4577,4.902964
4588,13.9945
4591,10.65372
4604,4.036909
4612,15.91776
4630,13.35338
4645,15.61631
4653,-0.3022581
4691,5.365488
4701,12.51383
4719,5.573419
4755,10.06826
4762,7.704575
4763,14.14181
4769,5.73669
4879,18.25716
4897,4.453885
4900,2.637007
4914,11.42651
4921,11.49558
4927,8.965035
4971,9.966916
4987,7.236411
4998,7.851884
5000,3.205935
5003,1.150128
5005,9.128219
5044,17.02208
5060,12.06309
5078,11.73672
5085,13.63582
5127,9.640441
5139,11.54228
5172,5.043502
5254,7.614978
5259,13.22367
5293,4.246813
5296,11.57965
5304,8.517114
5308,2.5723
5342,18.47327
5367,18.40029
5393,16.97935
5448,13.08447
5456,20.02659
5458,13.5438
5497,10.49787
5499,12.93593
5513,13.70505
5534,13.17031
5545,13.20612
5546,16.09073
5552,8.205535
5563,0.7213542
5572,10.63899
5574,9.601519
5577,5.276405
5618,10.26923
5661,16.96926
5666,12.11573
5723,17.11563
5742,17.41651
5755,10.18841
5779,19.43908
5802,13.79616
5835,10.80164
5900,8.605531
5920,7.335867
5921,15.62681
5939,8.812312
5949,17.9879
5972,10.93158
6025,14.3232
6038,11.80934
6046,5.46261
6048,16.68845
6073,15.42421
6080,15.43723
6084,3.820978
6087,10.82545
6125,3.882204
6159,9.9397
6179,10.30791
6210,18.61363
6237,5.678718
6249,18.51393
6292,21.4577
6293,11.3498
6295,17.4371
6309,15.16255
6315,13.94118
6367,14.45732
6369,2.253795
6380,13.02607
6418,10.46858
6423,15.08376
6430,3.923526
6455,8.388322
6494,17.34583
6516,18.01262
6545,17.72371
6554,16.82423
6564,23.78918
6567,17.67693
6600,8.845855
6603,10.50918
6607,15.30209
6610,14.22341
6637,13.80593
6653,5.190271
6690,13.77383
6697,17.94167
6780,15.6947
6805,8.124222
6808,15.96337
6816,23.47231
6831,6.733189
6840,10.92441
6870,19.19256
6917,10.74787
6931,14.13555
6936,18.07761
6959,17.45905
6979,17.60715
7011,20.94232
7013,11.21021
7027,11.50682
7064,14.81596
7073,18.12641
7087,8.461751
7100,11.80359
7117,16.2061
7123,18.97764
7127,12.06252
7145,12.57276
7150,13.88444
7177,12.08622
7232,21.72101
7245,14.86571
7248,9.222765
7306,11.65323
7346,18.95737
7349,9.973787
7360,11.59046
7393,27.76784
7409,12.13823
7432,15.82826
7440,10.66042
7451,16.07547
7497,11.46441
7502,13.84534
7564,28.50277
7578,19.34828
7598,7.833595
