ID,tbv_m
2,2.145435
17,3.186559
22,3.476304
31,4.139587
84,-1.613465
93,0.5391365
106,2.868288
146,3.754145
160,8.192728
162,1.692786
170,2.520285
177,3.994235
189,8.217229
200,1.271755
201,7.076722
220,-0.4631271
222,-3.157536
233,-0.74285
244,-2.392943
258,-1.767721
282,-0.6310752
299,3.502333
317,2.156744
352,8.680678
409,3.524515
411,9.420013
432,2.302946
500,2.755231
520,6.726047
530,12.04601
537,4.937053
550,5.457176
555,3.359972
561,-0.2663145
586,10.17612
598,2.974841
635,4.655407
636,3.860887
667,3.274182
673,-2.085928
741,7.867717
838,4.954124
839,4.298027
843,-3.55174
852,10.39083
908,2.935245
919,4.029422
956,-0.8325937
976,7.622738
994,-2.001091
1015,10.21403
1021,8.349176
1047,4.184326
1058,0.6540869
1072,0.3555596
1111,-8.729196
1115,-5.865603
1134,-4.937048
1142,-3.15585
1157,-2.302614
1175,-8.344696
1195,-10.86078
1243,-5.951441
1299,-3.687918
1302,-2.484139
1346,-9.091916
1347,-6.439091
1369,-15.4416
1381,-8.103268
1399,-5.731544
1408,-7.027037
1418,-4.070226
1437,-13.01389
1438,-11.67749
1441,-0.283715
1456,-3.957729
1503,-1.312686
1533,-5.663708
1537,-6.092158
1560,-1.589893
1570,-7.090565
1576,-5.219434
1577,-6.180369
1593,-4.495028
1755,-12.44074
1772,-12.3091
1820,-4.939163
1844,-8.069758
1847,-3.252955
1857,-5.841175
1860,-6.534412
1884,-2.981595
1936,-9.814112
1944,-9.171089
2002,-4.563658
2010,-6.330966
2021,-12.50703
2024,-9.476892
2032,-9.20206
2044,-7.02271
2051,-6.036229
2052,-2.790344
2054,-8.653015
2068,-8.285247
2105,-9.986435
2151,4.329532
2158,-4.339656
2189,-5.986911
2204,-6.568624
2207,-6.146589
2211,-8.517477
2247,-8.850357
2261,-5.37634
2262,-7.255101
2268,-5.180357
2277,-7.708283
2344,-5.940945
2362,-0.9077831
2382,-12.67177
2412,-6.413406
2423,-3.43729
2451,-9.853505
2469,0.1362889
2478,-1.367845
2502,-14.54796
2506,-9.257849
2547,-8.66424
2564,-11.68951
2571,-13.56456
2583,-5.274392
2600,-15.0993
2605,0.3703988
2639,-9.47769
2650,-1.027436
2661,-8.381361
2714,-12.141
2720,-3.620236
2741,-11.93852
2830,0.3830337
2844,-8.849134
2869,-4.447497
2911,-3.816304
2913,-4.858186
2922,-9.293289
2939,-12.38104
2959,-5.02668
2967,-7.528383
2973,-11.08154
2985,-6.678386
2995,-13.48499
3043,-12.41397
3046,-6.854752
3077,-12.98047
3083,-6.637502
3097,-8.293424
3110,-8.08044
3111,-3.689746
3199,-9.402556
3218,-3.844325
3224,-4.666372
3238,-2.625557
3244,-11.94082
3277,0.2786068
3281,-3.89788
3303,0.2549638
3315,-8.318841
3339,-4.186655
3341,-2.010493
3375,-12.14437
3383,-5.104044
3390,-1.915185
3408,-4.052483
3418,-6.714634
3430,3.463232
3446,-9.483373
3460,-1.560938
3466,-6.144641
3519,-10.67379
3524,-6.775776
3565,-8.192555
3602,-2.789845
3603,-4.532825
3618,-5.382393
3668,-5.342367
3704,-7.275158
3723,-4.115323
3776,-9.955299
3789,-7.832931
3807,-7.032764
3838,-3.879926
3869,-7.424306
3873,-8.32405
3874,-5.641503
3880,-8.439352
3905,-9.045761
3948,-10.6441
3953,3.391888
3971,-4.284456
3974,-11.65181
4098,-2.008885
4105,-4.137671
4120,-0.2506769
4163,-1.928587
4168,1.7687
4170,-0.9643147
4197,-9.680604
4217,-6.569986
4218,0.5935769
4222,-8.084945
4242,-2.924812
4243,4.463783
4253,-1.505632
4291,-6.70867
4307,-6.965037
4317,-11.69919
4340,-0.1117532
4374,-6.896861
4407,-3.529032
4438,-4.632173
4462,-7.802866
4515,-1.874396
4531,-9.915557
4533,-0.004132247
4546,-1.707262
4570,-12.72049
4604,-12.43046
4631,-2.924039
4678,-1.395963
4681,-4.828629
4704,-9.857609
4706,-6.862922
4715,-12.13434
4748,-4.586133
4758,-10.22094
4769,-5.742814
4791,0.01221656
4806,-1.080229
4816,-6.229666
4820,-3.552998
4847,-9.204062
4860,3.910557
4885,-1.363856
4908,-3.26728
4923,-2.439075
4944,-5.864881
4953,-0.2347145
4989,-6.698714
5002,-9.838792
5005,-7.895736
