ID,tbv_m
13,2.917787
15,2.689372
19,-7.85624
55,2.019232
102,3.460194
115,5.112359
121,8.834207
165,0.8886262
210,7.901495
221,-0.6428481
231,0.08331815
249,6.418614
253,-2.241397
277,2.526566
332,1.963469
347,6.914246
361,-1.090034
373,0.3556517
382,-2.678811
383,5.251291
414,2.269062
471,3.301763
508,1.703883
528,0.2406273
548,6.217864
556,3.752347
568,7.269484
585,6.245729
592,4.963242
595,3.641369
645,-1.445474
655,6.49304
657,1.804729
668,6.213159
700,1.274154
708,7.269589
715,11.35851
722,2.342721
750,0.3559345
784,2.399199
805,1.361363
823,-0.3827502
850,-0.8829545
858,6.77914
864,6.382727
924,2.291926
934,9.436977
941,9.162013
944,-0.1348538
968,3.576257
983,11.14425
1000,3.558302
1053,9.017605
1065,2.287922
1084,-3.186819
1190,-10.42589
1195,-10.86078
1205,-3.868038
1222,-5.173144
1236,-3.687284
1245,-11.44511
1248,-10.72081
1268,-7.30203
1273,-2.217821
1277,-8.94712
1290,-11.99525
1292,-9.704823
1320,-8.345715
1348,-5.141181
1370,-11.42347
1379,-8.122985
1387,-9.197102
1390,-8.352014
1416,-8.820913
1445,-4.027635
1493,-6.213693
1496,-7.572043
1508,-6.653616
1511,-8.285062
1538,-9.100634
1539,-8.20587
1548,-5.886154
1564,-5.558912
1612,-6.611062
1670,-11.71418
1675,-13.63079
1717,-4.324919
1723,-4.845193
1851,-1.253569
1856,-4.625184
1877,-12.65143
1891,-7.880181
1896,-6.253785
1920,-3.5175
1935,-4.561211
1937,-9.876704
1940,-12.01854
1942,-7.746077
1953,-4.268708
1965,0.56293
1976,-8.7073
1981,-12.62551
2001,-1.445931
2004,-5.916292
2028,-11.23559
2074,-7.364828
2086,-5.817248
2092,-3.263598
2093,-8.188476
2097,-6.024025
2109,-8.941114
2114,-9.41085
2132,-8.121981
2154,-1.739923
2169,-2.716762
2178,-6.222549
2196,-13.42449
2263,-16.49568
2277,-7.708283
2280,-4.981097
2299,-10.37268
2327,-8.483351
2335,-12.10644
