ID,tbv
13,14.75681
36,11.12086
40,18.92201
44,15.33033
60,12.59505
98,10.82635
99,9.573929
122,20.23675
123,28.52177
131,22.6584
175,24.32358
235,21.13521
255,23.33558
280,9.301276
294,14.63776
329,11.90482
352,24.50671
379,11.10046
400,20.44967
429,16.96924
433,14.62746
462,19.84713
467,9.53014
582,27.89351
587,9.709774
611,20.75397
615,15.55632
621,18.29294
630,19.79301
637,14.60228
642,20.04279
648,21.71075
670,14.86746
693,26.84193
696,19.61245
717,17.20776
743,11.43771
752,18.75474
758,16.30042
767,12.1567
812,24.19468
816,11.79768
855,25.00964
870,18.73299
878,13.07999
890,27.13803
903,11.2648
905,16.20369
917,15.83748
946,11.91708
949,23.34821
956,18.4366
964,27.40356
1028,18.73946
1057,18.77759
1107,5.724304
1114,8.566889
1132,13.08892
1157,9.211716
1183,4.935332
1188,4.871064
1215,16.49524
1236,10.25156
1251,8.805938
1273,12.1838
1276,7.600129
1288,8.788148
1291,17.60978
1305,5.505777
1319,6.01308
1321,13.02973
1329,8.595277
1372,6.092458
1379,4.820444
1419,15.15179
1455,15.45592
1481,9.866573
1508,9.65122
1510,5.150652
1607,5.092304
1671,0.725629
1679,3.21899
1692,10.80215
1705,-6.963727
1709,-1.397144
1717,8.011813
1742,6.670913
1757,0.05986755
1780,9.434663
1803,10.91372
1814,5.168949
1824,4.29334
1837,6.630588
1839,-6.857209
1866,3.004006
1881,5.947769
1888,10.91238
1906,6.254035
1921,10.97085
1982,0.7285573
1993,2.638456
2016,13.56856
2042,12.85838
2045,6.542625
2046,9.829183
2095,17.89038
2100,2.359347
2136,2.230923
2149,4.657067
2189,9.5309
2298,2.218709
2304,7.054966
2327,2.098555
2329,3.451019
2341,5.273787
2352,19.83441
2407,5.646885
2432,11.29549
2434,7.709698
2440,7.355811
2446,2.809183
2455,5.784651
2497,6.117937
2525,5.340147
2532,7.306411
2574,3.052512
2588,8.77474
2597,3.766339
2600,-2.625732
2618,9.58478
2624,7.857898
2658,15.42169
2659,9.255806
2663,5.861638
2676,6.139111
2678,7.933453
2683,5.205418
2705,4.394148
2769,17.7036
2793,13.45471
2807,1.5507
2846,3.579593
2847,2.578151
2920,10.33521
2922,5.181547
2941,7.562866
2959,7.759735
2971,5.623697
2983,8.01629
3029,4.021717
3032,11.06355
3060,1.580436
3061,9.928018
3082,15.53243
3089,11.10527
3167,12.72626
3207,9.225161
3209,17.89279
3223,1.667324
3261,8.962071
3275,12.94016
3288,15.59511
3292,8.621235
3320,8.061972
3346,8.715327
3381,3.272361
3396,8.753242
3425,13.85595
3454,5.718588
3458,5.085054
3463,4.242994
3516,14.72797
3556,12.36547
3562,7.159017
3563,14.20511
3606,3.234573
3632,7.603303
3636,7.965384
3642,11.6194
3647,-0.09357977
3681,5.185244
3689,12.35903
3745,5.469405
3747,8.452894
3774,1.130772
3776,3.243595
3780,7.091801
3831,17.18358
3856,6.510466
3870,7.244345
3887,9.933628
3903,13.42455
3905,9.516807
3924,10.39238
3956,5.05156
3957,16.48083
3979,4.453043
3994,4.534122
4010,10.36561
