ID,tbv_m
5,10.58312
9,-1.342641
31,4.139587
56,1.961439
75,7.203055
95,12.62066
125,-2.449636
136,3.083627
141,6.237508
145,-2.68818
153,-0.4123085
169,8.118286
210,7.901495
217,-1.439428
220,-0.4631271
262,-1.054538
312,6.485829
350,-2.485976
362,4.642553
459,11.59066
469,-3.879205
477,7.777345
486,6.686888
510,6.997513
522,4.596061
552,6.718932
561,-0.2663145
569,7.083142
572,2.876334
586,10.17612
606,8.103265
628,-1.022157
649,7.567789
654,7.668753
655,6.49304
678,9.002068
727,0.4595247
744,8.151406
808,6.769138
809,1.873064
827,4.539925
845,8.376989
876,1.365142
887,1.108292
918,6.839369
924,2.291926
936,7.243921
939,3.143831
971,2.53198
976,7.622738
1024,5.405905
1061,-0.2519838
1076,-3.488055
1078,5.185966
1084,-3.186819
1114,-5.867591
1123,-11.95844
1156,-10.73055
1163,-1.833275
1189,-8.319211
1194,-8.171384
1226,-6.83327
1232,-9.699967
1255,-10.21424
1274,-0.6419064
1287,-9.078962
1294,-3.12078
1309,-0.2761159
1315,-8.157826
1364,-11.98791
1366,-11.60359
1376,-13.11745
1382,-4.972901
1393,-8.170081
1402,-3.436799
1413,-3.453081
1452,-4.892844
1501,-11.60712
1513,-6.472202
1519,-3.303862
1522,-12.42538
1527,-5.367342
1565,-5.947226
1569,-7.891887
1600,-3.35035
1620,-5.132491
1657,-0.810909
1667,-10.27473
1673,-14.38455
1696,-11.02382
1701,-6.505115
1721,-1.958168
1749,-18.73964
1789,-4.725667
1799,-10.39712
1804,1.464807
1825,-4.535089
1828,-3.678961
1852,-3.742713
1867,-6.63019
1875,-12.99799
1883,-6.984582
1893,-7.580246
1941,-11.7794
1950,-6.568304
1959,-2.425988
1988,-5.202838
2001,-1.445931
2061,-5.892841
2073,-10.36857
2082,-3.391327
2114,-9.41085
2115,-11.23573
2143,-2.450779
2146,-1.485149
2157,-7.64008
2167,-6.315501
2206,-6.603501
2251,-5.054342
2306,-5.123652
2307,0.2700412
2312,-5.74865
2357,-9.420481
2373,3.255515
2384,-8.637825
2386,-15.1206
2388,-11.45734
2398,-13.63201
2400,-13.73386
2408,-10.59489
2410,-5.076177
2412,-6.413406
2415,-13.83857
2522,-9.924615
2527,-2.672102
2532,-12.23866
2554,-7.090505
2557,-6.137281
2592,-8.43113
2631,-3.78165
2643,-4.42055
2707,-14.84936
2737,-7.42261
2809,-10.36671
2849,-7.31737
2858,-6.121726
2878,-5.528979
2890,-12.87552
2895,-9.441386
2973,-11.08154
2975,-14.7788
2988,-8.600996
3007,-5.745469
3028,-5.682044
3061,-5.008732
3105,-8.07705
3112,-8.492938
3133,-11.02417
3154,-3.62815
3156,-9.501233
3164,-5.310356
3199,-9.402556
3214,-5.949813
3217,-5.119937
3222,1.728902
3226,-11.97644
3232,-3.452794
3254,-11.40751
3304,-4.942629
3305,0.7648616
3329,-7.062329
3340,-6.558973
3347,-4.083557
3369,-5.285515
3390,-1.915185
3421,-5.0049
3431,-3.53646
3449,-9.410298
3450,-5.028058
3461,-4.630005
3484,-9.674481
3508,3.38891
3510,-1.165947
3513,-4.485601
3533,-3.553157
3544,0.9842387
3550,-9.479766
3553,-7.664693
3567,-6.530938
3575,0.5678763
3622,-6.79847
3649,-0.03298316
3684,-3.703582
3686,2.497777
3687,-7.07191
3691,-5.827349
3694,1.4862
3699,-1.990487
3705,-0.317322
3734,-5.983558
3744,-7.963301
3789,-7.832931
3798,-6.193005
3810,5.313609
3814,-3.767479
3862,-3.488161
3940,-5.909136
3947,-6.971854
3957,-5.08424
4136,-8.391866
4148,-5.233897
4150,-4.369595
4208,-13.10624
4217,-6.569986
4234,-8.399917
4251,-1.140178
4258,-10.5224
4277,-4.26251
4324,-2.358812
4335,-2.883863
4364,-8.083467
4377,0.4841667
4389,-0.7102946
4399,-0.7014215
4409,-6.466597
4422,-7.171268
4449,-7.345331
4469,-7.420889
4486,-8.203106
4501,-4.068367
4539,-5.060955
4578,-1.333998
4601,-0.9721191
4602,-3.45125
4610,-4.786666
4638,-3.955916
4644,-5.761205
4683,1.402434
4692,-1.589091
4758,-10.22094
4785,-0.975773
4826,1.687661
4830,-3.75428
4837,-9.485995
4839,-6.92116
4846,-0.632849
4902,0.3161766
4911,-10.34766
4918,-6.90204
4968,-5.602315
4975,-4.346816
4998,-5.620884
5077,-7.192963
5080,-6.251185
5081,0.402683
5132,-4.143051
5178,-1.317014
5275,-3.727969
5278,-10.76071
5292,-5.229513
5331,-7.408209
5336,-4.638713
5340,-1.832754
5356,-6.982904
5365,-2.534086
5366,-0.5087708
5369,-6.122102
5383,1.251414
5388,-1.921047
5414,4.534804
5426,-5.692182
5438,-3.51393
5455,-2.839623
5457,-0.6214475
5459,4.278032
5498,0.9746972
5506,-7.056566
5539,3.679939
5572,-10.57237
5573,-8.6445
5603,-2.736182
5693,-4.780631
5704,-8.392929
5723,-1.531427
5740,-9.769327
5763,-4.801726
5769,-5.868987
5810,0.6957972
5822,-3.229593
5881,-4.151742
5886,3.436955
5902,-11.06515
5906,1.579421
5908,-0.4507015
5924,-1.874462
5930,-4.155551
5933,-3.07939
5950,-4.355259
6030,-2.35214
6050,-2.427775
6067,-4.282229
6089,-3.014974
6093,-4.639058
6115,-11.53603
6172,-3.159109
6173,-1.344526
6176,-7.521936
6184,2.221693
6211,-7.520257
6215,-6.410937
6220,-6.347461
6222,0.4062083
6224,-7.400239
6274,-5.04036
6277,4.269483
6290,-5.460158
6312,-4.072124
6321,0.1948786
6325,-3.925477
6379,-6.441026
6394,-6.204189
6424,-9.024335
6479,-3.752156
6488,-7.581693
6544,-4.819715
6560,-0.2869217
6572,-3.323429
6576,-1.638614
6635,-8.065521
6663,-4.895379
6696,-3.438303
6698,-5.180686
6705,-4.312195
6715,-7.042561
6733,0.2088337
6743,-0.4997926
6745,2.683138
6772,-5.144321
6803,-1.028443
6814,-7.864754
6832,-9.84941
6837,-0.8212392
6844,-3.440234
6884,-2.071628
6889,3.740153
6906,-2.432364
6978,-0.6134699
6980,-6.066508
7012,-3.756799
7016,-4.399103
7031,-5.69041
7042,-1.500883
7048,1.88209
7072,-4.18844
7077,1.737401
7104,0.3909044
7189,-1.192557
7236,0.7066194
7290,-1.642634
7300,2.540623
7329,4.347054
7330,5.700533
7356,-1.392364
7370,-5.096638
7387,3.741652
7401,-7.981243
7423,3.989021
7426,1.273963
7479,-2.845632
7509,1.682413
7545,-1.266519
7549,3.972622
7592,-4.439136
7625,-0.7752903
7626,-2.276628
7631,-0.6395747
7650,-1.277125
7667,3.225842
7674,-9.185279
7676,-4.039551
7697,-2.42826
7711,-0.9430374
7717,0.5277603
7727,1.56785
7730,2.777015
7761,-2.920497
7776,1.833099
7794,-1.580885
7815,-2.833339
7838,-1.283562
7893,-10.95189
7922,-1.521189
7930,-2.837576
7955,-5.891257
7958,-5.63079
7974,-0.3352174
7975,-2.389799
8012,-0.9645674
8014,-2.498411
8015,-5.890453
8065,-3.557211
8067,-2.093553
8097,-0.8450562
8119,-6.828986
8136,0.9301514
8153,-8.50721
8192,-7.900188
8241,-2.030514
8273,-0.9943597
8278,-1.13785
8280,-5.734608
8320,-6.197753
8323,-1.303772
8330,-4.931408
8376,-2.056667
8428,2.165634
8455,-0.1375786
8459,1.93346
8554,-1.99662
8562,-2.218598
8564,-5.077655
8565,-4.163718
8585,-5.310377
8611,-0.7925356
8622,6.183991
8635,-5.160583
8636,-0.6826973
8647,2.000918
8653,-1.01841
8658,-3.086616
8670,-3.012777
8721,-6.215816
8730,-3.403215
8762,-2.132627
8766,1.10666
8775,-0.1768471
8798,-0.9142454
8813,3.665861
8867,-2.13974
8880,-1.805313
8926,-1.378964
